銘柄コード,企業名,業種
8053,住友商事,卸売業
8058,三菱商事,卸売業
8233,髙島屋,小売業
8242,エイチ・ツー・オー リテイリング,小売業
8252,丸井グループ,小売業
8253,クレディセゾン,その他金融業
8267,イオン,小売業
8304,あおぞら銀行,銀行業
8306,三菱ＵＦＪフィナンシャル・グループ,銀行業
8308,りそなホールディングス,銀行業
8309,三井住友トラスト・ホールディングス,銀行業
8316,三井住友フィナンシャルグループ,銀行業
8331,千葉銀行,銀行業
8354,ふくおかフィナンシャルグループ,銀行業
8411,みずほフィナンシャルグループ,銀行業
8591,オリックス,その他金融業
8601,大和証券グループ本社,証券、商品先物取引業
8604,野村ホールディングス,証券、商品先物取引業
8628,松井証券,証券、商品先物取引業
8630,ＳＯＭＰＯホールディングス,保険業
8697,日本取引所グループ,その他金融業
8725,ＭＳ＆ＡＤインシュアランスグループホールディングス,保険業
8750,第一生命ホールディングス,保険業
8766,東京海上ホールディングス,保険業
8795,Ｔ＆Ｄホールディングス,保険業
8801,三井不動産,不動産業
8802,三菱地所,不動産業
8804,東京建物,不動産業
8830,住友不動産,不動産業
8892,日本エスコン,不動産業
9001,東武鉄道,陸運業
9005,東急,陸運業
9007,小田急電鉄,陸運業
9008,京王電鉄,陸運業
9009,京成電鉄,陸運業
9020,東日本旅客鉄道,陸運業
9021,西日本旅客鉄道,陸運業
9022,東海旅客鉄道,陸運業
9064,ヤマトホールディングス,陸運業
9101,日本郵船,海運業
9104,商船三井,海運業
9107,川崎汽船,海運業
9147,ＮＩＰＰＯＮ ＥＸＰＲＥＳＳ ホールディングス,陸運業
9201,日本航空,空運業
9202,ＡＮＡホールディングス,空運業
9301,三菱倉庫,倉庫・運輸関連業
9432,日本電信電話,情報・通信業
9433,ＫＤＤＩ,情報・通信業
9434,ソフトバンク,情報・通信業
9501,東京電力ホールディングス,電気・ガス業
9502,中部電力,電気・ガス業
9503,関西電力,電気・ガス業
9508,九州電力,電気・ガス業
9531,東京ガス,電気・ガス業
9532,大阪ガス,電気・ガス業
9602,東宝,情報・通信業
9613,ＮＴＴデータグループ,情報・通信業
9735,セコム,サービス業
9766,コナミグループ,情報・通信業
9843,ニトリホールディングス,小売業
9983,ファーストリテイリング,小売業
9984,ソフトバンクグループ,情報・通信業
